Year,Year.1,Sales/Revenue,Sales Growth,Cost of Goods Sold (COGS) incl. D&A,COGS Growth,COGS excluding D&A,Depreciation & Amortization Expense,Depreciation,Amortization of Intangibles,Gross Income,Gross Income Growth,Gross Profit Margin,SG&A Expense,SGA Growth,Research & Development,Other SG&A,Other Operating Expense,Unusual Expense,EBIT after Unusual Expense,Non Operating Income/Expense,Non-Operating Interest Income,Equity in Affiliates (Pretax),Interest Expense,Interest Expense Growth,Gross Interest Expense,Interest Capitalized,Pretax Income,Pretax Income Growth,Pretax Margin,Income Tax,Income Tax - Current Domestic,Income Tax - Current Foreign,Income Tax - Deferred Domestic,Income Tax - Deferred Foreign,Income Tax Credits,Equity in Affiliates,Other After Tax Income (Expense),Consolidated Net Income,Minority Interest Expense,Net Income,Net Income Growth,Net Margin Growth,Extraordinaries & Discontinued Operations,Extra Items & Gain/Loss Sale Of Assets,Cumulative Effect - Accounting Chg,Discontinued Operations,Net Income After Extraordinaries,Preferred Dividends,Net Income Available to Common,EPS (Basic),EPS (Basic) Growth,Basic Shares Outstanding,EPS (Diluted),EPS (Diluted) Growth,Diluted Shares Outstanding,EBITDA,EBITDA Growth,EBITDA Margin,stock
2016-01-01,2016,149.18,-,122.27B,-,112.58B,9.69B,9.36B,325M,26.92B,-,-,16.65B,-,6.6B,10.05B,-,300M,(300M),145M,182M,2.28B,563M,-,689M,126M,12.01B,-,-,2.74B,(61M),572M,2.13B,99M,-,-,-,9.27B,(159M),9.43B,-,-,(1M),-,-,(1M),9.43B,-,9.43B,6.12,-,1.54B,6.0,-,1.57B,19.95B,-,-,GM
2017-01-01,2017,145.59,-2.41%,120.06B,-1.81%,108.09B,11.97B,11.69B,278M,25.53B,-5.15%,-,16.68B,0.13%,7.3B,9.38B,-,250M,(250M),1.44B,266M,2.13B,575M,2.13%,575M,-,11.86B,-1.21%,-,11.53B,101M,552M,7.64B,3.24B,-,-,-,330M,(18M),348M,-96.31%,-,(4.21B),(3.9B),-,(312M),(3.86B),16M,20M,0.01,-99.78%,1.47B,0.01,-99.78%,1.49B,20.82B,4.38%,-,GM
2018-01-01,2018,147.05,1.00%,125.15B,4.25%,112.01B,13.14B,12.9B,247M,21.9B,-14.24%,-,17.01B,2.00%,7.8B,9.21B,-,182M,4.7B,2B,335M,2.16B,655M,13.91%,655M,-,8.55B,-27.94%,-,474M,9M,577M,(328M),216M,-,-,-,8.08B,(9M),8.08B,"2,222.99%",-,(70M),(70M),-,-,8.01B,98M,7.99B,5.66,"41,516.18%",1.41B,5.58,"41,547.01%",1.43B,18.03B,-13.42%,-,GM
2019-01-01,2019,137.24,-6.67%,116.03B,-7.29%,101.97B,14.06B,13.86B,202M,21.21B,-3.12%,-,15.29B,-10.11%,6.8B,8.49B,-,206M,5.72B,806M,429M,1.27B,782M,19.39%,782M,-,7.44B,-13.02%,-,769M,144M,758M,(142M),9M,-,-,-,6.67B,(65M),6.73B,-16.72%,-,-,-,-,-,6.73B,151M,6.58B,4.62,-18.35%,1.42B,4.57,-18.05%,1.44B,19.98B,10.84%,-,GM
2020-01-01,2020,122.49,-10.75%,101.91B,-12.16%,89.24B,12.68B,12.53B,144M,20.57B,-3.02%,16.80%,13.24B,-13.43%,6.2B,7.04B,-,296M,7.04B,1.24B,241M,674M,1.1B,40.41%,1.1B,-,8.1B,8.86%,6.61%,1.77B,356M,493M,617M,308M,-,-,-,6.32B,(106M),6.43B,-4.53%,5.25%,-,-,-,-,6.43B,180M,6.25B,4.36,-5.67%,1.43B,4.33,-5.27%,1.44B,20.01B,0.15%,16.34%,GM
2016-01-01,2016,180.66,-,121.33B,-,109.19B,12.14B,10.54B,1.6B,31.93B,-,-,20.44B,-,5.22B,15.22B,115M,526M,10.85B,1.46B,225M,-,319M,-,319M,-,12.07B,-,-,3.79B,1.4B,1.69B,155M,549M,-,502M,-,8.78B,258M,8.53B,-,-,-,-,-,-,8.53B,-,8.53B,7.97,-,1.07B,7.97,-,1.07B,23.52B,-,-,DDAIF
2017-01-01,2017,193.49,7.11%,129.81B,6.99%,116.18B,13.63B,11.86B,1.77B,34.35B,7.55%,-,22.52B,10.15%,5.89B,16.63B,(1M),(133M),133M,557M,212M,-,371M,16.30%,418M,47M,12.47B,3.29%,-,3.35B,2.02B,1.99B,425M,(1.08B),-,1.5B,-,10.62B,339M,10.28B,20.55%,-,-,-,-,-,10.28B,-,10.28B,9.61,20.54%,1.07B,9.61,20.54%,1.07B,25.46B,8.23%,-,DDAIF
2018-01-01,2018,197.28,1.95%,134.5B,3.62%,119.62B,14.89B,12.86B,2.03B,32.86B,-4.33%,-,23.48B,4.27%,6.52B,16.96B,(1M),(219M),9.6B,627M,268M,-,660M,77.90%,701M,41M,9.94B,-20.29%,-,3.01B,1.12B,1.13B,(125M),895M,-,656M,-,7.58B,333M,7.25B,-29.47%,-,-,-,-,-,7.25B,-,7.25B,6.78,-29.47%,1.07B,6.78,-29.47%,1.07B,24.27B,-4.66%,-,DDAIF
2019-01-01,2019,203.63,3.22%,143.22B,6.48%,127.09B,16.14B,13.74B,2.4B,29.52B,-10.16%,-,17.11B,-27.10%,6.55B,10.56B,(1M),5.89B,6.52B,(3B),393M,-,683M,3.48%,714M,31M,3.35B,-66.28%,-,1.12B,51M,2.33B,(1.13B),(134M),-,479M,-,2.71B,332M,2.38B,-67.21%,-,-,-,-,-,2.38B,-,2.38B,2.22,-67.21%,1.07B,2.22,-67.21%,1.07B,28.55B,17.61%,-,DDAIF
2020-01-01,2020,181.89,-10.67%,127.85B,-10.73%,110.47B,17.39B,14.82B,2.56B,26.46B,-10.38%,17.15%,19.24B,12.43%,6.09B,13.16B,-,2.34B,4.88B,471M,218M,-,322M,-52.86%,365M,43M,5.54B,65.38%,3.59%,2.33B,358M,2.18B,261M,(467M),-,797M,-,4.01B,382M,3.63B,52.59%,2.35%,-,-,-,-,3.63B,-,3.63B,3.39,52.59%,1.07B,3.39,52.59%,1.07B,24.6B,-13.81%,15.94%,DDAIF
